house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area (m2)
Dijual Rumah 1 Lantai Strategis Area Pagarsih Jamika Bandung,"Andir, Bandung",3,1,0,600000000,71,65
RUMAH BESAR MURAH BANDUNG KOTA,"Andir, Bandung",7,5,0,15000000000,1210,750
"Rumah Super Strategis di Rajawali Sakti, Bandung","Andir, Bandung",3,5,2,4500000000,316,250
"Rumah Bagus Terawat Di Jl Garuda, Dadali Srigunting Andir ","Andir, Bandung",4,3,2,6250000000,625,457
Jual Rumah tengah kota siap huni,"Andir, Bandung",3,2,1,1550000000,129,100
Rumah Usah Lux Home Industri Rajawali Timur Jual Cepat Murah,"Andir, Bandung",5,4,6,8500000000,500,574
Rumah Besar di Sayap Andir,"Andir, Bandung",5,3,2,6500000000,475,300
Rumah Andir,"Andir, Bandung",5,2,3,8000000000,760,250
"RUKO Jendral Sudirman, dkt Cibadak","Andir, Bandung",2,2,0,7500000000,165,300
"Rumah Bagus di Rajawali, Bandung, Siap Huni ","Andir, Bandung",4,2,0,1400000000,140,160
RUMAH PAJAJARAN BANDUNG,"Andir, Bandung",4,3,0,19000000000,580,280
Rumah Toko Hitung Tanah Saja di Jendral Sudirman Bandung,"Andir, Bandung",0,0,0,1800000000,600,800
sudirman. rumah gudang mainroad. bandung,"Andir, Bandung",4,3,0,10500000000,439,1000
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,0,5800000000,400,400
Dijual Rumah Kelenteng Sayap Cibadak Bandung,"Andir, Bandung",6,3,2,4250000000,253,180
"Rumah 2 Lantai Bagus SHM di Gang Kebon Kopi, Bandung","Andir, Bandung",2,1,0,260000000,32,60
Rumah di sayap Rajawali bisa dijadikan tempat usaha ,"Andir, Bandung",3,1,1,3000000000,350,258
Rumah Cantik Nyaman Siap Huni di Kompleks Kertalaksana Bandung,"Andir, Bandung",4,3,2,3600000000,202,300
Rumah Cantik Nyaman Siap Huni di Kompleks Kertalaksana Bandung,"Andir, Bandung",4,3,2,3600000000,202,300
Rumah Siap Huni Di Tengah Kota Andir Town House Bandung,"Andir, Bandung",3,2,0,1400000000,49,72
Rumah Sayap Rajawali,"Andir, Bandung",3,2,1,2500000000,196,150
Rumah Sayap Rajawali,"Andir, Bandung",3,2,1,2500000000,196,150
"Rumah Cluster Exclusive SHM Andir Town House,bandung","Andir, Bandung",3,2,0,1400000000,49,72
Rumah Bagus Dan Luas Tengah Kota di Mainroad Garuda Kota Bandung,"Andir, Bandung",5,3,0,17000000000,770,557
Rumah di Maleber Barat Andir Strategis Bisa Untuk Usaha Jual Lelang,"Andir, Bandung",2,2,4,1240000000,216,273
Murah Rumah di Jalan Maleber Barat Andir,"Andir, Bandung",2,2,0,1240000000,216,273
"Rumah 2 Lantai Unfurnished di Komplek Elang , Bandung","Andir, Bandung",6,3,2,1500000000,187,370
"Rumah Dalam Komplek di Sayap Rajawali, Bandung","Andir, Bandung",3,2,1,1200000000,126,98
Jual rumah untuk kost Sayap Rajawali 2 lantai,"Andir, Bandung",7,3,1,2100000000,140,300
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,3,2,1990000000,104,125
Rumah di Cempaka Hijau Andir Maleber dekat Bandara Husein,"Andir, Bandung",2,2,0,1300000000,137,160
Rumah Luas Tengah Kota di Komplek Dadali Bandung,"Andir, Bandung",4,3,5,5300000000,394,420
Di jual rumah di komplek Kertalaksana,"Andir, Bandung",5,3,1,3600000000,184,234
Rumah Daerah Maleber Cocok Untuk Tempat Usaha Atau Kos Kost,"Andir, Bandung",5,4,1,2000000000,170,350
Rumah Baru Minimalis Tengah Kota Andir Townhouse,"Andir, Bandung",3,2,0,1600000000,70,116
Rumah Besar Bisa Usaha di Mainroad Rajawali Timur Dkt Pasar Andir,"Andir, Bandung",5,4,4,7900000000,500,574
Dijual Rumah Layak Huni Sayap Gardujati Kota Bandung,"Andir, Bandung",3,2,0,3250000000,204,100
Rumah Murah Lokasi Pusat Kota Dalam Komlek Andir ,"Andir, Bandung",4,3,3,3500000000,202,300
Dijual Cepat Murah Rumah Bisa Usaha di Mainroad Sudirman Andir,"Andir, Bandung",4,3,0,4000000000,255,350
Rumah Dekat Rumah Sakit Rajawali Komplek Garuda Elang Andir,"Andir, Bandung",3,2,1,1100000000,129,98
Dijual Rumah Murah Minimalis Di Rajawali,"Andir, Bandung",3,2,1,1650000000,151,180
